Adname,Spend,New,Reg,Dep,Qua
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_12,"20,75",35,6|1,1,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_4,"15,14",11,3,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_14,"42,74",70|3,13,1,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_15,"8,31",11,0,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_13,"53,33",69,7,2,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_1,"10,27",13,2,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_11,"39,67",63,12,1,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_16,"14,71",25|1,4,1,0
MelaniaVysotskaya_crCASINOUA_05_09_2024(24)_t3_L2,"56,11",98|1,13,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_8,"49,63",77|1,10,1,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_9,"61,46",80|1,15,1,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t4_L1,"94,64",174|3,14,0,0
MelaniaVysotskaya_crCASINOUA_17_08_2024(19)_t3_L1,"28,56",50,6,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t4_L2,"65,94",102|2,12,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t4_L1,"64,97",87,12,1,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(10)_t2_L2_6,"45,59",61,7,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(5)_t3_L1_6,"22,9",35|1,5,1,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_21,"6,36",9,2,0,0
MelaniaVysotskaya_crCASINOUAS_01_08_2024(14)_t3_L2_1,"61,02",76|1,12,4,0
