"Дата начала отчетности","Дата окончания отчетности","Название объявления","Показ рекламы","Название группы объявлений",Ставка,"Тип ставки","Бюджет группы объявлений","Тип бюджета группы объявлений","Последняя существенная правка","Настройка атрибуции",Результат,"Индикатор результата",Охват,Показы,"Цена за результаты","Оценка качества","Оценка коэффициента вовлеченности","Оценка коэффициента конверсии","Сумма затрат (USD)",Конец
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t1_ybfcore,active,"adset1 | 21-45 М моб ФБ+Інста+Лента+Сторіз+Audience (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,2024-09-03T22:36:44+0300,"1 день после клика или 1 день после просмотра",,,1636,1861,,-,-,-,34.69,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETPL_05_08_2024(2)_t2_ybfcore,active,"adset1 | 21-45 М моб ФБ+Інста+Лента+Сторіз+Audience (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,2024-09-03T22:36:44+0300,"1 день после клика или 1 день после просмотра",,,8016,10794,,"Ниже среднего — последние 35 % объявлений","Выше среднего","Выше среднего",149.38,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETS_13_11_2023(8)_t3_ybfcore,inactive,"adset1 | 21-45 М моб ФБ+Інста+Лента+Сторіз+Audience (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,2024-09-03T22:36:44+0300,"1 день после клика или 1 день после просмотра",,,888,997,,-,-,-,15.17,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore,active,"adset2 | 25-48 М Android моб ФБ+Інста+Messenger+Лента+Сторіз (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,15666,20708,,"Ниже среднего — последние 35 % объявлений","Выше среднего","Выше среднего",218.7,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETPL_05_08_2024(2)_t5_ybfcore,active,"adset2 | 25-48 М Android моб ФБ+Інста+Messenger+Лента+Сторіз (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,6556,6807,,"Ниже среднего — последние 20 % объявлений","Выше среднего","Выше среднего",12.92,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETS_13_11_2023(8)_t6_ybfcore,active,"adset2 | 25-48 М Android моб ФБ+Інста+Messenger+Лента+Сторіз (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,577,626,,"Ниже среднего — последние 35 % объявлений","Выше среднего","Выше среднего",8.83,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(3)_t1_ybfcore,inactive,"adset3 | 21-48 М моб Android ФБ+Інста+Messenger+Лента+Сторіз+Интересное+Поиск (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,150,154,,-,-,-,1.35,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(7)_t2_ybfcore,inactive,"adset3 | 21-48 М моб Android ФБ+Інста+Messenger+Лента+Сторіз+Интересное+Поиск (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,532,548,,"Ниже среднего — последние 20 % объявлений","Выше среднего","Выше среднего",1.28,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(6)_t3_ybfcore,active,"adset3 | 21-48 М моб Android ФБ+Інста+Messenger+Лента+Сторіз+Интересное+Поиск (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,3723,3807,,"Ниже среднего — последние 20 % объявлений","Выше среднего","Выше среднего",9.28,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(3)_t4_ybfcore,inactive,"adset4 | 21-48 М моб Android ФБ+Інста+Лента+Сторіз+Audience (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,55,57,,-,-,-,0.24,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(6)_t6_ybfcore,inactive,"adset4 | 21-48 М моб Android ФБ+Інста+Лента+Сторіз+Audience (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,4,4,,-,-,-,0.03,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(7)_t5_ybfcore,inactive,"adset4 | 21-48 М моб Android ФБ+Інста+Лента+Сторіз+Audience (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,256,330,,-,-,-,3,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(1)_t5_ybfcore,inactive,"adset4 | 21-48 М моб Android ФБ+Інста+Лента+Сторіз+Audience (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,305,338,,-,-,-,3.47,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(4)_t6_ybfcore,inactive,"adset4 | 21-48 М моб Android ФБ+Інста+Лента+Сторіз+Audience (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,140,150,,-,-,-,2.71,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(4)_t3_ybfcore,inactive,"adset3 | 21-48 М моб Android ФБ+Інста+Messenger+Лента+Сторіз+Интересное+Поиск (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,560,629,,"Ниже среднего — последние 20 % объявлений","Выше среднего","Выше среднего",12.25,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(8)_video_t4_ybfcore,inactive,"adset4 | 21-48 М моб Android ФБ+Інста+Лента+Сторіз+Audience (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,22,22,,-,-,-,0.15,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(1)_t2_ybfcore,inactive,"adset3 | 21-48 М моб Android ФБ+Інста+Messenger+Лента+Сторіз+Интересное+Поиск (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,503,520,,"Ниже среднего — последние 10 % объявлений","Выше среднего","Выше среднего",5.47,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(5)_t6_ybfcore,active,"adset2 | 25-48 М Android моб ФБ+Інста+Messenger+Лента+Сторіз (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,3127,3612,,"Ниже среднего — последние 35 % объявлений","Выше среднего","Выше среднего",35.2,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore,active,"adset2 | 25-48 М Android моб ФБ+Інста+Messenger+Лента+Сторіз (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",2,actions:offsite_conversion.fb_pixel_purchase,42113,56668,160.505,"Среднее значение","Выше среднего","Выше среднего",321.01,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(8)_video_t1_ybfcore,inactive,"adset3 | 21-48 М моб Android ФБ+Інста+Messenger+Лента+Сторіз+Интересное+Поиск (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,1471,1520,,-,-,-,10.61,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t1_ybfcore,inactive,"adset1 | 21-45 М моб ФБ+Інста+Лента+Сторіз+Audience (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,132,137,,-,-,-,4.29,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(10)_t5_ybfcore,inactive,"adset2 | 25-48 М Android моб ФБ+Інста+Messenger+Лента+Сторіз (Играть)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,358,375,,-,-,-,3.42,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(5)_t3_ybfcore,inactive,"adset1 | 21-45 М моб ФБ+Інста+Лента+Сторіз+Audience (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,475,510,,-,-,-,11.14,Триває
2024-07-05,2024-09-14,SophiaVladimirova_crMOSTBETP_28_08_2024(10)_t2_ybfcore,inactive,"adset1 | 21-45 М моб ФБ+Інста+Лента+Сторіз+Audience (Скачать)",0,ABSOLUTE_OCPM,"Используется бюджет кампании",0,0,"1 день после клика или 1 день после просмотра",,,248,287,,-,-,-,10.61,Триває
