SubId;Кампания;Сайт;Источник;"Время конверсии";Статус;"Ориг. статус";"Sub ID 1";"Sub ID 14";"ID кампании";SubId;TID;"Период продажи";Доход
2c891iopp4v6;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-06 08:23:37";lead;reg;SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore;;2608;2c891iopp4v6;1725611017;0;0
2qn45h1pp2po;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-06 06:38:31";lead;reg;SophiaVladimirova_crMOSTBETP_28_08_2024(5)_t3_ybfcore;;2608;2qn45h1pp2po;1725604711;0;0
8eq0lmpp1sf;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-06 05:47:16";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;;2608;8eq0lmpp1sf;1725601636;0;0
12mfh0lpovbq;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-06 02:58:27";lead;reg;SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore;;2608;12mfh0lpovbq;1725591507;0;0
pi608uport3;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-05 23:13:34";lead;reg;SophiaVladimirova_crMOSTBETP_28_08_2024(8)_video_t1_ybfcore;;2608;pi608uport3;1725578014;0;0
3ppfk32popvv;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-05 21:42:36";lead;reg;SophiaVladimirova_crMOSTBETPL_05_08_2024(2)_t2_ybfcore;;2608;3ppfk32popvv;1725572556;0;0
3d2nhdnpojei;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-05 18:09:31";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t1_ybfcore;;2608;3d2nhdnpojei;1725559771;0;0
3sok1mjpoh4c;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-05 16:54:23";lead;reg;SophiaVladimirova_crMOSTBETPL_05_08_2024(2)_t2_ybfcore;;2608;3sok1mjpoh4c;1725555262;0;0
2qn45h1pnugt;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-05 05:14:07";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;;2608;2qn45h1pnugt;1725513247;0;0
30dl727pnt3o;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-05 03:47:38";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;;2608;30dl727pnt3o;1725508057;0;0
1q0rgejpns45;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-05 02:44:51";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;;2608;1q0rgejpns45;1725504291;0;0
4tnp9npnqac;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-05 01:03:10";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;;2608;4tnp9npnqac;1725498190;0;0
1296hplpnpr1;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-05 00:26:55";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;;2608;1296hplpnpr1;1725496015;0;0
2255qdrpnnkc;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-04 22:31:31";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;;2608;2255qdrpnnkc;1725489091;0;0
2nhr193pnk1v;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-04 20:27:30";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;;2608;2nhr193pnk1v;1725481650;0;0
3hvgi0bpni47;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-04 19:14:27";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t1_ybfcore;;2608;3hvgi0bpni47;1725477267;0;0
2nhr193pn4oh;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-04 11:06:59";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(8)_t6_ybfcore;;2608;2nhr193pn4oh;1725448018;0;0
2qn45h1pmvkr;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-04 08:01:58";lead;reg;SophiaVladimirova_crMOSTBETPL_05_08_2024(2)_t2_ybfcore;;2608;2qn45h1pmvkr;1725436918;0;0
3lvic44pmlkb;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-03 22:26:20";lead;reg;SophiaVladimirova_crMOSTBETPL_05_08_2024(2)_t5_ybfcore;;2608;3lvic44pmlkb;1725402380;0;0
a4vpsupmhl3;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-03 19:58:17";lead;reg;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;;2608;a4vpsupmhl3;1725393497;0;0
2nhr193pm6g2;"app[PWA] MostBet [PL] #043";;app[PwaGroup];"2024-09-03 14:28:03";lead;reg;SophiaVladimirova_crMOSTBETP_28_08_2024(6)_t3_ybfcore;;2608;2nhr193pm6g2;1725373683;0;0
;;;;;;;;;;;;0;0
