SubId;"Дата и время";Оффер;Источник;"Флаг страны";Город;ОС;"Тип соединения";"Тип устройства";"Уник. (кампания)";"Sub ID 1";SubId
3d3ckffq0mpc;"2024-09-14 19:51:31";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore;3d3ckffq0mpc
2366mtlq0mp7;"2024-09-14 19:51:16";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore;2366mtlq0mp7
2nhr193q0mnv;"2024-09-14 19:49:24";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(9)_t4_ybfcore;2nhr193q0mnv
239dua2q0lol;"2024-09-14 19:05:52";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Sieradz;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;239dua2q0lol
356o681q0l9v;"2024-09-14 18:44:28";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Chociwel;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETP_28_08_2024(5)_t6_ybfcore;356o681q0l9v
2qn45h1q0l6t;"2024-09-14 18:40:51";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t1_ybfcore;2qn45h1q0l6t
3e01bepq0kf3;"2024-09-14 18:08:03";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crMOSTBETS_13_11_2023(6)_t1_ybfcore_3;3e01bepq0kf3
tf7sftq0jvv;"2024-09-14 17:48:13";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaPotapova_crSWEETBONANZA_12_09_2024(15)_t1_oanscene;tf7sftq0jvv
30jus66q0jt0;"2024-09-14 17:44:14";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];NL;Amersfoort;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;30jus66q0jt0
2qn45h1q0io9;"2024-09-14 16:50:41";"MostBet [PL] 100$ SWEET BONANZA pwa";app[PwaGroup];PL;Warsaw;Android;"Сотовая связь";"Мобильный телефон";1;SophiaVladimirova_crMOSTBETS_13_11_2023(6)_t4_ybfcore;2qn45h1q0io9
